epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
58,3907.82,0.53695,0.536,0.38005,0.00439,0.26812,0.88573,0.92534,0.92445,0.8637,0.87976,0.91994,0.91771,0.79899,0.34832,0.60019,0.30967,0.00564,0,0.000814495,0.000814495,0.000814495
59,3974.51,0.5188,0.47578,0.36537,0.00428,0.24049,0.88821,0.93272,0.94598,0.88475,0.87828,0.92125,0.93289,0.81498,0.31465,0.4856,0.27553,0.00518,0,0.000808389,0.000808389,0.000808389
60,4039.87,0.50593,0.48145,0.36491,0.00399,0.23965,0.89688,0.90752,0.93886,0.87804,0.90821,0.88733,0.9312,0.80607,0.33663,0.41839,0.28882,0.00565,0,0.000802208,0.000802208,0.000802208
61,4104,0.50845,0.5141,0.35317,0.00407,0.23456,0.89357,0.94336,0.94964,0.8906,0.88722,0.92871,0.9395,0.81813,0.3369,0.41459,0.26498,0.00547,0,0.000795954,0.000795954,0.000795954
62,4170.49,0.50028,0.51798,0.3425,0.004,0.22143,0.89576,0.92366,0.94409,0.89299,0.89024,0.91736,0.93596,0.81543,0.31868,0.57622,0.28417,0.00501,0,0.000789628,0.000789628,0.000789628
63,4236.57,0.50547,0.47487,0.34263,0.00411,0.24387,0.90476,0.93075,0.95002,0.88802,0.89436,0.91941,0.93751,0.81759,0.34496,0.465,0.29618,0.0057,0,0.000783231,0.000783231,0.000783231
64,4303.85,0.50503,0.5004,0.36868,0.00415,0.29249,0.88064,0.94987,0.95292,0.89172,0.87346,0.92845,0.93979,0.82739,0.3219,0.53669,0.28646,0.00517,0,0.000776766,0.000776766,0.000776766
65,4369.5,0.49271,0.53591,0.34151,0.00391,0.22748,0.89167,0.9328,0.94643,0.88795,0.8792,0.91984,0.935,0.81798,0.32836,0.4666,0.29172,0.00493,0,0.000770234,0.000770234,0.000770234
66,4434.28,0.49149,0.4865,0.33843,0.00398,0.23953,0.89423,0.94336,0.94546,0.88532,0.88674,0.93474,0.93514,0.81641,0.3306,0.48636,0.26372,0.00536,0,0.000763637,0.000763637,0.000763637
67,4499.94,0.49554,0.50149,0.34099,0.00398,0.22395,0.90831,0.92948,0.94714,0.88898,0.89649,0.91131,0.93362,0.82864,0.31331,0.48013,0.25796,0.00492,0,0.000756976,0.000756976,0.000756976
